x0,x1,x2,x3,u0,u1
0.78,0.72,0.36,-0.78,-1.9,-1.1
0.72,0.66,0.42,-0.78,-2,-2
0.78,0.66,0.42,-0.78,-1.4,-1.6
0.72,0.72,0.42,-0.78,-1.9,-1.5
0.72,0.78,0.42,-0.78,-2,-1.3
0.72,0.66,0.48,-0.78,-1.1,-1.9
0.66,0.78,0.48,-0.78,-1.7,-1.4
0.72,0.78,0.48,-0.78,-1.8,-1.6
0.72,0.66,0.54,-0.78,-0.5,-1.8
0.72,0.72,0.54,-0.78,-0.2,-1.4
0.6,0.78,0.54,-0.78,-2,-1.7
0.66,0.78,0.54,-0.78,-0.6,-1.3
0.6,0.72,0.6,-0.78,-1.1,-2
0.54,0.78,0.6,-0.78,-2,-1.9
0.6,0.78,0.6,-0.78,-0.7,-1.6
0.6,0.72,0.66,-0.78,0.2,-1.9
0.66,0.72,0.66,-0.78,0.8,-1.6
0.54,0.78,0.66,-0.78,-0.9,-1.8
0.6,0.78,0.66,-0.78,-0.3,-2
0.66,0.78,0.66,-0.78,1.1,-1.2
0.54,0.72,0.72,-0.78,0.5,-2
0.6,0.72,0.72,-0.78,0.6,-1.8
0.48,0.78,0.72,-0.78,-1.6,-2
0.54,0.78,0.72,-0.78,0.4,-1.7
0.6,0.78,0.72,-0.78,1.6,-1.4
0.54,0.72,0.78,-0.78,0.9,-1.9
0.6,0.72,0.78,-0.78,1.9,-1.7
0.48,0.78,0.78,-0.78,0.4,-1.8
0.54,0.78,0.78,-0.78,1,-1.6
0.6,0.78,0.78,-0.78,1.2,-1.8
0.78,0.72,0.36,-0.72,-1.9,-1
0.72,0.66,0.42,-0.72,-2,-1.9
0.72,0.72,0.42,-0.72,-1.8,-1.4
0.78,0.72,0.42,-0.72,-0.9,-1
0.72,0.78,0.42,-0.72,-1.9,-1.3
0.72,0.66,0.48,-0.72,-1.6,-1.8
0.66,0.72,0.48,-0.72,-2,-1.7
0.72,0.72,0.48,-0.72,-1.5,-1.7
0.66,0.78,0.48,-0.72,-1.9,-1.5
0.72,0.78,0.48,-0.72,-1.5,-1.4
0.72,0.66,0.54,-0.72,-0.6,-1.7
0.6,0.72,0.54,-0.72,-1.9,-1.9
0.66,0.72,0.54,-0.72,-1.4,-1.6
0.72,0.72,0.54,-0.72,-1.1,-1.9
0.6,0.78,0.54,-0.72,-1.6,-1.5
0.6,0.72,0.6,-0.72,-0.9,-1.8
0.66,0.72,0.6,-0.72,-0.2,-1.5
0.54,0.78,0.6,-0.72,-1.6,-1.7
0.6,0.78,0.6,-0.72,-1.8,-1.8
0.66,0.78,0.6,-0.72,-0.1,-1.4
0.54,0.72,0.66,-0.72,-1.1,-2
0.6,0.72,0.66,-0.72,-0.3,-1.7
0.48,0.78,0.66,-0.72,-2,-1.9
0.54,0.78,0.66,-0.72,-0.7,-1.6
0.6,0.78,0.66,-0.72,-0.1,-1.4
0.54,0.72,0.72,-0.72,-0.4,-1.9
0.6,0.72,0.72,-0.72,0.8,-1.6
0.48,0.78,0.72,-0.72,-1.5,-1.8
0.54,0.78,0.72,-0.72,0.5,-1.5
0.6,0.78,0.72,-0.72,1.7,-1.3
0.48,0.72,0.78,-0.72,0.2,-2
0.54,0.72,0.78,-0.72,1.5,-1.7
0.6,0.72,0.78,-0.72,2,-1.5
0.42,0.78,0.78,-0.72,-0.8,-1.9
0.48,0.78,0.78,-0.72,0.8,-1.6
0.54,0.78,0.78,-0.72,1.7,-1.4
0.78,0.78,0.36,-0.66,-2,-1.6
0.78,0.6,0.42,-0.66,-1.6,-1.8
0.72,0.66,0.42,-0.66,-2,-1.7
0.72,0.72,0.42,-0.66,-1.7,-1.3
0.78,0.72,0.42,-0.66,-1.6,-1.4
0.72,0.78,0.42,-0.66,-1,-0.8
0.72,0.6,0.48,-0.66,-1.2,-2
0.72,0.66,0.48,-0.66,-0.9,-1.6
