theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
0.9,0.9,0.0,0.0,0.0,0.0
1.8,0.9,0.0,0.0,0.0,0.0
0.9,1.8,0.0,0.0,0.0,0.0
1.8,1.8,0.0,0.0,0.0,0.0
0.9,0.9,0.9,0.0,0.0,0.0
1.8,0.9,0.9,0.0,0.0,0.0
0.9,1.8,0.9,0.0,0.0,0.0
1.8,1.8,0.9,0.0,0.0,0.0
0.9,0.9,1.8,0.0,0.0,0.0
1.8,0.9,1.8,0.0,0.0,0.0
0.9,1.8,1.8,0.0,0.0,0.0
1.8,1.8,1.8,0.0,0.0,0.0
0.9,0.9,2.7,0.0,0.0,0.0
1.8,0.9,2.7,0.0,0.0,0.0
0.9,1.8,2.7,0.0,0.0,0.0
1.8,1.8,2.7,0.0,0.0,0.0
0.9,0.9,3.6,0.0,0.0,0.0
1.8,0.9,3.6,0.0,0.0,0.0
0.9,1.8,3.6,0.0,0.0,0.0
1.8,1.8,3.6,0.0,0.0,0.0
0.9,0.9,4.5,0.0,0.0,0.0
1.8,0.9,4.5,0.0,0.0,0.0
0.9,1.8,4.5,0.0,0.0,0.0
1.8,1.8,4.5,0.0,0.0,0.0
0.9,0.9,5.4,0.0,0.0,0.0
1.8,0.9,5.4,0.0,0.0,0.0
0.9,1.8,5.4,0.0,0.0,0.0
1.8,1.8,5.4,0.0,0.0,0.0
0.9,0.9,0.0,0.9,0.0,0.0
1.8,0.9,0.0,0.9,0.0,0.0
0.9,1.8,0.0,0.9,0.0,0.0
1.8,1.8,0.0,0.9,0.0,0.0
0.9,0.9,0.9,0.9,0.0,0.0
1.8,0.9,0.9,0.9,0.0,0.0
0.9,1.8,0.9,0.9,0.0,0.0
1.8,1.8,0.9,0.9,0.0,0.0
0.9,0.9,1.8,0.9,0.0,0.0
1.8,0.9,1.8,0.9,0.0,0.0
0.9,1.8,1.8,0.9,0.0,0.0
1.8,1.8,1.8,0.9,0.0,0.0
0.9,0.9,2.7,0.9,0.0,0.0
1.8,0.9,2.7,0.9,0.0,0.0
0.9,1.8,2.7,0.9,0.0,0.0
1.8,1.8,2.7,0.9,0.0,0.0
0.9,0.9,3.6,0.9,0.0,0.0
1.8,0.9,3.6,0.9,0.0,0.0
0.9,1.8,3.6,0.9,0.0,0.0
1.8,1.8,3.6,0.9,0.0,0.0
0.9,0.9,4.5,0.9,0.0,0.0
1.8,0.9,4.5,0.9,0.0,0.0
0.9,1.8,4.5,0.9,0.0,0.0
1.8,1.8,4.5,0.9,0.0,0.0
0.9,0.9,5.4,0.9,0.0,0.0
1.8,0.9,5.4,0.9,0.0,0.0
